CqF03, B, 0, -inf, -inf, inf
ZqkG6, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
eF3Ka, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
eF3Ka, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
eF3Ka, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
eF3Ka, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
mLfXv, G, 5, 41, 41, inf
4p8dS, G, 4, 41, 41, inf
mLfXv, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
mLfXv, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
mLfXv, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
opBSg, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
opBSg, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
opBSg, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
opBSg, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
zfPuV, B, 5, 21, 41, inf
4p8dS, G, 4, 41, 41, inf
zfPuV, O, 5, 32, 41, inf
4p8dS, G, 4, 41, 41, inf
zfPuV, R, 5, 10, 41, inf
4p8dS, G, 4, 41, 41, inf
zfPuV, Y, 5, 19, 41, inf
4p8dS, G, 4, 41, 41, inf
4YVsA, G, 3, 41, -inf, 41
4p8dS, O, 4, -inf, -inf, 41
66q9x, G, 5, 39, -inf, 41
4p8dS, O, 4, 39, 39, 41
66q9x, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
66q9x, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
66q9x, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
EfAlJ, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
EfAlJ, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
EfAlJ, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
HEPJv, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
HEPJv, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
HEPJv, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
HsqqQ, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
HsqqQ, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
HsqqQ, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
HsqqQ, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
RuDQS, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
RuDQS, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
RuDQS, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
SQWho, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
SQWho, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
Vl2tc, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
Vl2tc, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
Vl2tc, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
ZqkG6, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
ZqkG6, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
ZqkG6, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
eF3Ka, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
eF3Ka, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
eF3Ka, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
eF3Ka, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
mLfXv, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
mLfXv, O, 5, 30, 39, 41
4p8dS, O, 4, 39, 39, 41
mLfXv, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
mLfXv, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
opBSg, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
opBSg, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
opBSg, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
opBSg, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
zfPuV, B, 5, 19, 39, 41
4p8dS, O, 4, 39, 39, 41
zfPuV, G, 5, 39, 39, 41
4p8dS, O, 4, 39, 39, 41
zfPuV, R, 5, 8, 39, 41
4p8dS, O, 4, 39, 39, 41
zfPuV, Y, 5, 17, 39, 41
4p8dS, O, 4, 39, 39, 41
4YVsA, G, 3, 39, -inf, 39
4p8dS, R, 4, -inf, -inf, 39
66q9x, G, 5, 52, -inf, 39
4p8dS, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
4p8dS, Y, 4, -inf, -inf, 39
66q9x, G, 5, 72, -inf, 39
4p8dS, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
66q9x, G, 4, -inf, -inf, 39
3cY4M, B, 5, 21, -inf, 39
66q9x, G, 4, 21, 21, 39
3cY4M, O, 5, 32, 21, 39
66q9x, G, 4, 32, 32, 39
3cY4M, R, 5, 10, 32, 39
66q9x, G, 4, 32, 32, 39
3cY4M, Y, 5, 19, 32, 39
66q9x, G, 4, 32, 32, 39
4p8dS, G, 5, 41, 32, 39
66q9x, G, 4, 41, 32, 39
4YVsA, G, 3, 39, -inf, 39
66q9x, O, 4, -inf, -inf, 39
3cY4M, B, 5, 19, -inf, 39
66q9x, O, 4, 19, 19, 39
3cY4M, G, 5, 39, 19, 39
66q9x, O, 4, 39, 19, 39
4YVsA, G, 3, 39, -inf, 39
66q9x, R, 4, -inf, -inf, 39
3cY4M, B, 5, 32, -inf, 39
66q9x, R, 4, 32, 32, 39
3cY4M, G, 5, 52, 32, 39
66q9x, R, 4, 52, 32, 39
4YVsA, G, 3, 39, -inf, 39
66q9x, Y, 4, -inf, -inf, 39
3cY4M, B, 5, 52, -inf, 39
66q9x, Y, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
EfAlJ, B, 4, -inf, -inf, 39
3cY4M, G, 5, 72, -inf, 39
EfAlJ, B, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
EfAlJ, O, 4, -inf, -inf, 39
3cY4M, B, 5, 19, -inf, 39
EfAlJ, O, 4, 19, 19, 39
3cY4M, G, 5, 39, 19, 39
EfAlJ, O, 4, 39, 19, 39
4YVsA, G, 3, 39, -inf, 39
EfAlJ, R, 4, -inf, -inf, 39
3cY4M, B, 5, 32, -inf, 39
EfAlJ, R, 4, 32, 32, 39
3cY4M, G, 5, 52, 32, 39
EfAlJ, R, 4, 52, 32, 39
4YVsA, G, 3, 39, -inf, 39
EfAlJ, Y, 4, -inf, -inf, 39
3cY4M, B, 5, 52, -inf, 39
EfAlJ, Y, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HEPJv, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
HEPJv, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HEPJv, R, 4, -inf, -inf, 39
4p8dS, G, 5, 52, -inf, 39
HEPJv, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HEPJv, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
HEPJv, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HsqqQ, B, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
HsqqQ, B, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HsqqQ, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
HsqqQ, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HsqqQ, R, 4, -inf, -inf, 39
4p8dS, G, 5, 52, -inf, 39
HsqqQ, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
HsqqQ, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
HsqqQ, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
RuDQS, G, 4, -inf, -inf, 39
4p8dS, G, 5, 41, -inf, 39
RuDQS, G, 4, 41, -inf, 39
4YVsA, G, 3, 39, -inf, 39
RuDQS, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
RuDQS, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
RuDQS, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
RuDQS, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
SQWho, G, 4, -inf, -inf, 39
3cY4M, B, 5, 21, -inf, 39
SQWho, G, 4, 21, 21, 39
3cY4M, O, 5, 32, 21, 39
SQWho, G, 4, 32, 32, 39
3cY4M, R, 5, 10, 32, 39
SQWho, G, 4, 32, 32, 39
3cY4M, Y, 5, 19, 32, 39
SQWho, G, 4, 32, 32, 39
4p8dS, O, 5, 32, 32, 39
SQWho, G, 4, 32, 32, 39
4p8dS, R, 5, 10, 32, 39
SQWho, G, 4, 32, 32, 39
4p8dS, Y, 5, 19, 32, 39
SQWho, G, 4, 32, 32, 39
66q9x, G, 5, 41, 32, 39
SQWho, G, 4, 41, 32, 39
4YVsA, G, 3, 39, -inf, 39
SQWho, O, 4, -inf, -inf, 39
3cY4M, B, 5, 19, -inf, 39
SQWho, O, 4, 19, 19, 39
3cY4M, G, 5, 39, 19, 39
SQWho, O, 4, 39, 19, 39
4YVsA, G, 3, 39, -inf, 39
SQWho, Y, 4, -inf, -inf, 39
3cY4M, B, 5, 52, -inf, 39
SQWho, Y, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
Vl2tc, B, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
Vl2tc, B, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
Vl2tc, G, 4, -inf, -inf, 39
4p8dS, O, 5, 32, -inf, 39
Vl2tc, G, 4, 32, 32, 39
4p8dS, R, 5, 10, 32, 39
Vl2tc, G, 4, 32, 32, 39
4p8dS, Y, 5, 19, 32, 39
Vl2tc, G, 4, 32, 32, 39
66q9x, G, 5, 41, 32, 39
Vl2tc, G, 4, 41, 32, 39
4YVsA, G, 3, 39, -inf, 39
Vl2tc, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
Vl2tc, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
Vl2tc, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
Vl2tc, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
ZqkG6, G, 4, -inf, -inf, 39
4p8dS, O, 5, 32, -inf, 39
ZqkG6, G, 4, 32, 32, 39
4p8dS, R, 5, 10, 32, 39
ZqkG6, G, 4, 32, 32, 39
4p8dS, Y, 5, 19, 32, 39
ZqkG6, G, 4, 32, 32, 39
66q9x, G, 5, 41, 32, 39
ZqkG6, G, 4, 41, 32, 39
4YVsA, G, 3, 39, -inf, 39
ZqkG6, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
ZqkG6, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
ZqkG6, R, 4, -inf, -inf, 39
4p8dS, G, 5, 52, -inf, 39
ZqkG6, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
ZqkG6, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
ZqkG6, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
eF3Ka, B, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
eF3Ka, B, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
eF3Ka, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
eF3Ka, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
eF3Ka, R, 4, -inf, -inf, 39
4p8dS, G, 5, 52, -inf, 39
eF3Ka, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
eF3Ka, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
eF3Ka, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
mLfXv, G, 4, -inf, -inf, 39
4p8dS, G, 5, 41, -inf, 39
mLfXv, G, 4, 41, -inf, 39
4YVsA, G, 3, 39, -inf, 39
mLfXv, O, 4, -inf, -inf, 39
4p8dS, G, 5, 39, -inf, 39
mLfXv, O, 4, 39, -inf, 39
4YVsA, G, 3, 39, -inf, 39
mLfXv, R, 4, -inf, -inf, 39
4p8dS, G, 5, 52, -inf, 39
mLfXv, R, 4, 52, -inf, 39
4YVsA, G, 3, 39, -inf, 39
mLfXv, Y, 4, -inf, -inf, 39
4p8dS, G, 5, 72, -inf, 39
mLfXv, Y, 4, 72, -inf, 39
4YVsA, G, 3, 39, -inf, 39
4UJ6B, B, 2, 39, 39, inf
4YVsA, O, 3, inf, 39, inf
4p8dS, G, 4, -inf, 39, inf
66q9x, G, 5, 32, 39, inf
4p8dS, G, 4, 32, 39, inf
66q9x, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
66q9x, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
66q9x, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
EfAlJ, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
EfAlJ, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
EfAlJ, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
HEPJv, G, 5, 32, 39, inf
4p8dS, G, 4, 32, 39, inf
HEPJv, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
HEPJv, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
HsqqQ, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
HsqqQ, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
HsqqQ, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
HsqqQ, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
RuDQS, G, 5, 32, 39, inf
4p8dS, G, 4, 32, 39, inf
RuDQS, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
RuDQS, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
SQWho, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
SQWho, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
Vl2tc, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
Vl2tc, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
Vl2tc, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
ZqkG6, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
ZqkG6, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
ZqkG6, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
eF3Ka, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
eF3Ka, G, 5, 32, 39, inf
4p8dS, G, 4, 32, 39, inf
eF3Ka, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
eF3Ka, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
mLfXv, G, 5, 32, 39, inf
4p8dS, G, 4, 32, 39, inf
mLfXv, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
mLfXv, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
mLfXv, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
opBSg, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
opBSg, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
opBSg, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
opBSg, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
zfPuV, B, 5, 12, 39, inf
4p8dS, G, 4, 32, 39, inf
zfPuV, O, 5, 23, 39, inf
4p8dS, G, 4, 32, 39, inf
zfPuV, R, 5, 1, 39, inf
4p8dS, G, 4, 32, 39, inf
zfPuV, Y, 5, 10, 39, inf
4p8dS, G, 4, 32, 39, inf
4YVsA, O, 3, 32, 39, inf
4UJ6B, B, 2, 39, 39, inf
4YVsA, R, 3, inf, 39, inf
4p8dS, G, 4, -inf, 39, inf
66q9x, G, 5, 10, 39, inf
4p8dS, G, 4, 10, 39, inf
66q9x, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
66q9x, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
66q9x, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
EfAlJ, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
EfAlJ, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
EfAlJ, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
HEPJv, G, 5, 10, 39, inf
4p8dS, G, 4, 10, 39, inf
HEPJv, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
HEPJv, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
HsqqQ, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
HsqqQ, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
HsqqQ, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
HsqqQ, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
RuDQS, G, 5, 10, 39, inf
4p8dS, G, 4, 10, 39, inf
RuDQS, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
RuDQS, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
SQWho, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
SQWho, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
Vl2tc, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
Vl2tc, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
Vl2tc, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
ZqkG6, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
ZqkG6, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
ZqkG6, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
eF3Ka, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
eF3Ka, G, 5, 10, 39, inf
4p8dS, G, 4, 10, 39, inf
eF3Ka, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
eF3Ka, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
mLfXv, G, 5, 10, 39, inf
4p8dS, G, 4, 10, 39, inf
mLfXv, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
mLfXv, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
mLfXv, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
opBSg, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
opBSg, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
opBSg, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
opBSg, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
zfPuV, B, 5, -10, 39, inf
4p8dS, G, 4, 10, 39, inf
zfPuV, O, 5, 1, 39, inf
4p8dS, G, 4, 10, 39, inf
zfPuV, R, 5, -21, 39, inf
4p8dS, G, 4, 10, 39, inf
zfPuV, Y, 5, -12, 39, inf
4p8dS, G, 4, 10, 39, inf
4YVsA, R, 3, 10, 39, inf
4UJ6B, B, 2, 39, 39, inf
4YVsA, Y, 3, inf, 39, inf
4p8dS, G, 4, -inf, 39, inf
66q9x, G, 5, 19, 39, inf
4p8dS, G, 4, 19, 39, inf
66q9x, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
66q9x, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
66q9x, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
EfAlJ, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
EfAlJ, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
EfAlJ, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
HEPJv, G, 5, 19, 39, inf
4p8dS, G, 4, 19, 39, inf
HEPJv, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
HEPJv, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
HsqqQ, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
HsqqQ, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
HsqqQ, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
HsqqQ, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
RuDQS, G, 5, 19, 39, inf
4p8dS, G, 4, 19, 39, inf
RuDQS, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
RuDQS, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
SQWho, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
SQWho, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
Vl2tc, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
Vl2tc, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
Vl2tc, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
ZqkG6, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
ZqkG6, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
ZqkG6, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
eF3Ka, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
eF3Ka, G, 5, 19, 39, inf
4p8dS, G, 4, 19, 39, inf
eF3Ka, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
eF3Ka, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
mLfXv, G, 5, 19, 39, inf
4p8dS, G, 4, 19, 39, inf
mLfXv, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
mLfXv, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
mLfXv, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
opBSg, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
opBSg, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
opBSg, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
opBSg, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
zfPuV, B, 5, -1, 39, inf
4p8dS, G, 4, 19, 39, inf
zfPuV, O, 5, 10, 39, inf
4p8dS, G, 4, 19, 39, inf
zfPuV, R, 5, -12, 39, inf
4p8dS, G, 4, 19, 39, inf
zfPuV, Y, 5, -3, 39, inf
4p8dS, G, 4, 19, 39, inf
4YVsA, Y, 3, 19, 39, inf
4UJ6B, B, 2, 39, 39, inf
4p8dS, G, 3, inf, 39, inf
4YVsA, G, 4, -inf, 39, inf
66q9x, G, 5, 41, 39, inf
4YVsA, G, 4, 41, 41, inf
66q9x, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
66q9x, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
EfAlJ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HEPJv, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, R, 5, 10, 41, inf
4YVsA, G, 4, 41, 41, inf
HsqqQ, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, G, 5, 41, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
RuDQS, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
SQWho, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, B, 5, 21, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, O, 5, 32, 41, inf
4YVsA, G, 4, 41, 41, inf
Vl2tc, Y, 5, 19, 41, inf
4YVsA, G, 4, 41, 41, inf
